,full_name,annual_salary,,
,"Nathaniel Chalobah
MIDFIELDER","£1,820,000.00",,
,"Nathaniel Clyne 
DEFENDER","£3,640,000.00",,
,"Nathaniel Mendez-Laing
FORWARD","£961,667.00",,
,"Neeskens Kebano
MIDFIELDER","£700,000.00",,
,"Neil Etheridge
GOALKEEPER","£1,015,000.00",,
,"Neil Taylor
DEFENDER","£416,000.00",,
,"Nemanja Matic
MIDFIELDER","£6,240,000.00",,
,"Nick Pope
GOALKEEPER","£1,820,000.00",,
,"Nicolas Otamendi
DEFENDER","£6,240,000.00",,
,"Oleksandr Zinchenko
MIDFIELDER","£1,040,000.00",,
,"Oliver Burke
FORWARD","£1,560,000.00",,
,"Oliver Norwood
MIDFIELDER","£780,000.00",,
,"Olivier Giroud
FORWARD","£4,680,000.00",,
,"Onyinye Ndidi
MIDFIELDER","£3,900,000.00",,
,"Oriol Romeu
MIDFIELDER","£3,380,000.00",,
,"Orjan Nyland
GOALKEEPER","£1,040,000.00",,
,"Oumar Niasse
FORWARD","£2,860,000.00",,
,"Pablo Zabaleta
DEFENDER","£3,900,000.00",,
,"Pape Souare
DEFENDER","£1,560,000.00",,
,"Pascal Gross
MIDFIELDER","£2,600,000.00",,
,"Patrick Van Aanholt
DEFENDER","£2,860,000.00",,
,"Paul Dummett
DEFENDER","£1,820,000.00",,
,"Paul Pogba
MIDFIELDER","£15,080,000.00",,
,"Paulo Gazzaniga
GOALKEEPER","£1,040,000.00",,
,"Pedro Obiang
MIDFIELDER","£2,860,000.00",,
,"Pedro Rodríguez Ledesma
MIDFIELDER","£3,000,000.00",,
,"Peter Crouch
FORWARD","£2,080,000.00",,
,"Petr Cech
GOALKEEPER","£5,720,000.00",,
,"Phil Bardsley
DEFENDER","£1,300,000.00",,
,"Phil Foden
MIDFIELDER","£624,000.00",,
,"Phil Jagielka
DEFENDER","£2,600,000.00",,
,"Phil Jones
DEFENDER","£3,900,000.00",,
,"Philip Billing
MIDFIELDER","£780,000.00",,
,"Philip Heise
DEFENDER","£842,000.00",,
,"Philippe Sandler
DEFENDER","£1,976,000.00",,
,"Pierre-Emerick Aubameyang
FORWARD","£8,190,000.00",,
,"Pierre-Emile Hojbjerg
MIDFIELDER","£2,600,000.00",,
,"Raheem Sterling
FORWARD","£7,800,000.00",,
,"Rajiv van La Parra
MIDFIELDER","£936,000.00",,
,"Ramadan Sobhi
FORWARD","£1,404,000.00",,
,"Raul Jimenez
FORWARD","£2,132,000.00",,
,"Reece Oxford
DEFENDER",£0.00,,
,"Rhian Brewster
FORWARD","£520,000.00",,
,"Ricardo Pereira
DEFENDER","£3,640,000.00",,
,"Richad Ghezzal
MIDFIELDER","£2,340,000.00",,
,"Richard Stearman
DEFENDER","£780,000.00",,
,"Richarlison de Andrade
FORWARD","£4,680,000.00",,
,"Riyad Mahrez
FORWARD","£6,240,000.00",,
,"Rob Elliot
GOALKEEPER","£1,300,000.00",,
,"Rob Holding
DEFENDER","£1,300,000.00",,
,"Robbie Brady
MIDFIELDER","£1,820,000.00",,
,"Robert Green
GOALKEEPER","£1,300,000.00",,
,"Robert Kenedy
MIDFIELDER","£1,300,000.00",,
,"Robert Snodgrass
MIDFIELDER","£2,080,000.00",,
,"Roberto Firmino
FORWARD","£9,360,000.00",,
,"Roberto Pereyra
MIDFIELDER","£2,340,000.00",,
,"Romain Saiss
MIDFIELDER","£1,144,000.00",,
,"Romelu Lukaku
FORWARD","£9,360,000.00",,
,"Ross Barkley
MIDFIELDER","£4,766,667.00",,
,"Ruben Loftus-Cheek
MIDFIELDER","£1,820,000.00",,
,"Ruben Neves
MIDFIELDER","£2,600,000.00",,
,"Ruben Vinagre
DEFENDER","£1,560,000.00",,
,"Rui Patricio
GOALKEEPER","£5,200,000.00",,
